"spkid","full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
3787093,"       (2017 UN1)",0.8838,0.4667,3.98,39.30,201.55,0.471,1.30,0.831,13,7,27,,,24.80
3787089,"       (2017 UO1)",2.54,0.5859,1.63,72.82,336.12,1.052,4.03,4.05,26,7,41,,,24.90
3787092,"       (2017 UP1)",1.74,0.4579,11.46,201.14,139.86,0.944,2.54,2.3,2,8,22,,,26.80
3787094,"       (2017 UQ1)",1.792,0.7116,9.93,199.46,82.57,0.517,3.07,2.4,4,8,21,,,25.90
3787096,"       (2017 UR1)",1.386,0.3200,14.55,27.13,303.32,0.942,1.83,1.63,11,8,41,,,25.40
3787099,"       (2017 US1)",1.267,0.1057,17.51,41.17,330.92,1.133,1.40,1.43,26,6,37,,,23.30
3787097,"       (2017 UT1)",1.432,0.3563,0.64,168.43,168.44,0.921,1.94,1.71,2,7,25,,,27.50
3787101,"       (2017 UU1)",1.11,0.1291,8.61,24.64,314.47,0.967,1.25,1.17,5,6,94,,,26.90
3787600,"       (2017 UJ2)",1.122,0.1836,0.52,28.33,297.47,0.916,1.33,1.19,1,5,27,,,30.90
3787622,"       (2017 UK2)",2.221,0.5929,4.69,209.28,251.73,0.904,3.54,3.31,171,5,70,,,22.40
3787618,"       (2017 UL2)",1.169,0.4542,24.24,198.90,51.24,0.638,1.70,1.26,6,9,26,,,22.10
3787619,"       (2017 UM2)",2.229,0.5341,4.91,198.36,163.19,1.038,3.42,3.33,6,8,24,,,26.20
3787620,"       (2017 UN2)",2.034,0.5067,2.20,27.16,352.32,1.003,3.06,2.9,4,7,18,,,28.20
3787617,"       (2017 UO2)",1.045,0.2959,3.96,194.11,302.50,0.736,1.35,1.07,10,7,38,,,25.80
3787623,"       (2017 UP2)",2.101,0.6213,11.11,274.87,172.13,0.796,3.41,3.05,1269,0,146,,,20.17
3787621,"       (2017 UQ2)",1.944,0.6140,6.76,25.73,73.99,0.750,3.14,2.71,4,8,41,,,25.70
3787625,"       (2017 UR2)",1.138,0.3262,6.54,24.01,273.75,0.767,1.51,1.21,2,6,40,,,27.70
